
Encoding: task 1 of 2, 0.04 %
Encoding: task 1 of 2, 0.08 %
Encoding: task 1 of 2, 0.09 %
Encoding: task 1 of 2, 0.12 %
Encoding: task 1 of 2, 0.12 %
Encoding: task 1 of 2, 0.15 %
Encoding: task 1 of 2, 0.17 %
Encoding: task 1 of 2, 0.19 %
Encoding: task 1 of 2, 0.20 %
Encoding: task 1 of 2, 0.24 %
Encoding: task 1 of 2, 0.25 %
Encoding: task 1 of 2, 0.27 %
Encoding: task 1 of 2, 0.29 %
Encoding: task 1 of 2, 1.73 % (56.52 fps, avg 47.40 fps, ETA 00h21m51s)
Encoding: task 1 of 2, 1.75 % (56.52 fps, avg 47.40 fps, ETA 00h21m51s)
Encoding: task 1 of 2, 1.78 % (51.07 fps, avg 47.14 fps, ETA 00h21m58s)
Encoding: task 1 of 2, 1.80 % (51.07 fps, avg 47.14 fps, ETA 00h21m58s)
Encoding: task 1 of 2, 1.84 % (51.07 fps, avg 47.14 fps, ETA 00h21m58s)
Encoding: task 1 of 2, 1.85 % (49.67 fps, avg 47.54 fps, ETA 00h21m45s)
Encoding: task 1 of 2, 1.90 % (49.67 fps, avg 47.54 fps, ETA 00h21m45s)
Encoding: task 1 of 2, 1.92 % (49.67 fps, avg 47.54 fps, ETA 00h21m45s)
Encoding: task 1 of 2, 1.95 % (52.67 fps, avg 48.02 fps, ETA 00h21m31s)
Encoding: task 1 of 2, 1.97 % (52.67 fps, avg 48.02 fps, ETA 00h21m31s)
Encoding: task 1 of 2, 2.00 % (52.67 fps, avg 48.02 fps, ETA 00h21m31s)
Encoding: task 1 of 2, 2.01 % (52.67 fps, avg 48.02 fps, ETA 00h21m31s)
Encoding: task 1 of 2, 2.04 % (55.59 fps, avg 48.10 fps, ETA 00h21m28s)
Encoding: task 1 of 2, 2.06 % (55.59 fps, avg 48.10 fps, ETA 00h21m28s)
Encoding: task 1 of 2, 2.09 % (55.59 fps, avg 48.10 fps, ETA 00h21m28s)
Encoding: task 1 of 2, 2.11 % (51.89 fps, avg 48.02 fps, ETA 00h21m29s)
Encoding: task 1 of 2, 2.13 % (51.89 fps, avg 48.02 fps, ETA 00h21m29s)
Encoding: task 1 of 2, 2.15 % (51.89 fps, avg 48.02 fps, ETA 00h21m29s)
Encoding: task 1 of 2, 2.18 % (47.00 fps, avg 47.91 fps, ETA 00h21m31s)
Encoding: task 1 of 2, 2.19 % (47.00 fps, avg 47.91 fps, ETA 00h21m31s)
Encoding: task 1 of 2, 2.23 % (47.00 fps, avg 47.91 fps, ETA 00h21m31s)
Encoding: task 1 of 2, 2.24 % (47.00 fps, avg 47.91 fps, ETA 00h21m31s)
Encoding: task 1 of 2, 2.28 % (46.80 fps, avg 47.97 fps, ETA 00h21m28s)
Encoding: task 1 of 2, 2.30 % (46.80 fps, avg 47.97 fps, ETA 00h21m28s)
Encoding: task 1 of 2, 2.31 % (46.80 fps, avg 47.97 fps, ETA 00h21m28s)
Encoding: task 1 of 2, 2.34 % (48.65 fps, avg 48.08 fps, ETA 00h21m24s)
Encoding: task 1 of 2, 2.35 % (48.65 fps, avg 48.08 fps, ETA 00h21m24s)
Encoding: task 1 of 2, 2.37 % (48.65 fps, avg 48.08 fps, ETA 00h21m24s)
Encoding: task 1 of 2, 2.38 % (48.65 fps, avg 48.08 fps, ETA 00h21m24s)
Encoding: task 1 of 2, 2.41 % (45.73 fps, avg 47.70 fps, ETA 00h21m34s)
Encoding: task 1 of 2, 2.43 % (45.73 fps, avg 47.70 fps, ETA 00h21m34s)
Encoding: task 1 of 2, 2.46 % (45.73 fps, avg 47.70 fps, ETA 00h21m34s)
Encoding: task 1 of 2, 2.47 % (44.56 fps, avg 47.65 fps, ETA 00h21m34s)
Encoding: task 1 of 2, 2.50 % (44.56 fps, avg 47.65 fps, ETA 00h21m34s)
Encoding: task 1 of 2, 2.52 % (44.56 fps, avg 47.65 fps, ETA 00h21m34s)
Encoding: task 1 of 2, 2.55 % (43.94 fps, avg 47.71 fps, ETA 00h21m31s)
Encoding: task 1 of 2, 2.57 % (43.94 fps, avg 47.71 fps, ETA 00h21m31s)
Encoding: task 1 of 2, 2.59 % (43.94 fps, avg 47.71 fps, ETA 00h21m31s)
Encoding: task 1 of 2, 2.61 % (43.94 fps, avg 47.71 fps, ETA 00h21m31s)
Encoding: task 1 of 2, 2.65 % (47.89 fps, avg 47.72 fps, ETA 00h21m30s)
Encoding: task 1 of 2, 2.66 % (47.89 fps, avg 47.72 fps, ETA 00h21m30s)
Encoding: task 1 of 2, 2.68 % (47.89 fps, avg 47.72 fps, ETA 00h21m30s)
Encoding: task 1 of 2, 2.69 % (46.32 fps, avg 47.53 fps, ETA 00h21m34s)
Encoding: task 1 of 2, 2.72 % (46.32 fps, avg 47.53 fps, ETA 00h21m34s)
Encoding: task 1 of 2, 2.74 % (46.32 fps, avg 47.53 fps, ETA 00h21m34s)
Encoding: task 1 of 2, 2.77 % (45.70 fps, avg 47.55 fps, ETA 00h21m33s)
Encoding: task 1 of 2, 2.79 % (45.70 fps, avg 47.55 fps, ETA 00h21m33s)
Encoding: task 1 of 2, 2.82 % (45.70 fps, avg 47.55 fps, ETA 00h21m33s)
Encoding: task 1 of 2, 2.86 % (45.70 fps, avg 47.55 fps, ETA 00h21m33s)
Encoding: task 1 of 2, 2.87 % (48.92 fps, avg 47.82 fps, ETA 00h21m24s)
Encoding: task 1 of 2, 2.90 % (48.92 fps, avg 47.82 fps, ETA 00h21m24s)
Encoding: task 1 of 2, 2.94 % (48.92 fps, avg 47.82 fps, ETA 00h21m24s)
Encoding: task 1 of 2, 2.96 % (48.92 fps, avg 47.82 fps, ETA 00h21m24s)
Encoding: task 1 of 2, 2.98 % (54.17 fps, avg 48.08 fps, ETA 00h21m16s)
Encoding: task 1 of 2, 3.02 % (54.17 fps, avg 48.08 fps, ETA 00h21m16s)
Encoding: task 1 of 2, 3.05 % (54.17 fps, avg 48.08 fps, ETA 00h21m16s)
Encoding: task 1 of 2, 3.07 % (56.79 fps, avg 48.30 fps, ETA 00h21m09s)
Encoding: task 1 of 2, 3.10 % (56.79 fps, avg 48.30 fps, ETA 00h21m09s)
Encoding: task 1 of 2, 3.14 % (56.79 fps, avg 48.30 fps, ETA 00h21m09s)
Encoding: task 1 of 2, 3.15 % (56.79 fps, avg 48.30 fps, ETA 00h21m09s)
Encoding: task 1 of 2, 3.19 % (58.33 fps, avg 48.63 fps, ETA 00h20m59s)
Encoding: task 1 of 2, 3.21 % (58.33 fps, avg 48.63 fps, ETA 00h20m59s)
Encoding: task 1 of 2, 3.25 % (58.33 fps, avg 48.63 fps, ETA 00h20m59s)
Encoding: task 1 of 2, 3.27 % (58.64 fps, avg 48.88 fps, ETA 00h20m51s)
Encoding: task 1 of 2, 3.29 % (58.64 fps, avg 48.88 fps, ETA 00h20m51s)
Encoding: task 1 of 2, 3.33 % (58.64 fps, avg 48.88 fps, ETA 00h20m51s)
Encoding: task 1 of 2, 3.34 % (58.64 fps, avg 48.88 fps, ETA 00h20m51s)
Encoding: task 1 of 2, 3.38 % (58.21 fps, avg 49.03 fps, ETA 00h20m46s)
Encoding: task 1 of 2, 3.40 % (58.21 fps, avg 49.03 fps, ETA 00h20m46s)
Encoding: task 1 of 2, 3.45 % (58.21 fps, avg 49.03 fps, ETA 00h20m46s)
Encoding: task 1 of 2, 3.48 % (59.75 fps, avg 49.43 fps, ETA 00h20m35s)
Encoding: task 1 of 2, 3.50 % (59.75 fps, avg 49.43 fps, ETA 00h20m35s)
Encoding: task 1 of 2, 3.53 % (59.75 fps, avg 49.43 fps, ETA 00h20m35s)
Encoding: task 1 of 2, 3.55 % (59.75 fps, avg 49.43 fps, ETA 00h20m35s)
Encoding: task 1 of 2, 3.59 % (61.09 fps, avg 49.73 fps, ETA 00h20m26s)
Encoding: task 1 of 2, 3.61 % (61.09 fps, avg 49.73 fps, ETA 00h20m26s)
